4PS3,,Paraport Airstrip,M,41.7884,-79.5186,,,US,Warren
5A8,WKK,Aleknagik / New Airport,M,59.2826,-158.6180,,,US,Aleknagik
AGGH,HIR,Honiara International Airport,M,-9.4317,160.0450,-9.4243,160.0640,SB,Honiara
AGGM,MUA,Munda Airport,M,-8.3292,157.2570,-8.3268,157.2690,SB,
AHJ,,Hongyuan Airport,M,32.5161,102.3470,32.5470,102.3580,CN,Aba
AMC,,Mar de Cortés International Airport,L,31.3516,-113.3059,,,MX,Puerto Peñasco
ANYN,INU,Nauru International Airport,M,-0.5537,166.9120,-0.5412,166.9260,NR,Yaren District
AYBK,BUA,Buka Airport,M,-5.4270,154.6670,-5.4175,154.6780,PG,Buka Island
AYCH,CMU,Chimbu Airport,M,-6.0275,144.9680,-6.0202,144.9740,PG,Kundiawa
AYDU,DAU,Daru Airport,M,-9.0912,143.2030,-9.0823,143.2120,PG,Daru
AYGA,GKA,Goroka Airport,M,-6.0902,145.3910,-6.0750,145.3930,PG,Goronka
AYGN,GUR,Gurney Airport,M,-10.3130,150.3260,-10.3100,150.3410,PG,Gurney
AYGR,PNP,Girua Airport,M,-8.8105,148.3040,-8.7986,148.3140,PG,Popondetta
AYHK,HKN,Kimbe Airport,M,-5.4670,150.4000,-5.4573,150.4100,PG,Hoskins
AYKM,KMA,Kerema Airport,M,-7.9669,145.7690,-7.9600,145.7740,PG,Kerema
AYKV,KVG,Kavieng Airport,M,-2.5838,150.8020,-2.5750,150.8140,PG,Kavieng
AYMD,MAG,Madang Airport,M,-5.2089,145.7820,-5.2052,145.7960,PG,Madang
AYMH,HGU,Mount Hagen Kagamuga Airport,M,-5.8340,144.2910,-5.8238,144.3080,PG,Mount Hagen
AYMN,MDU,Mendi Airport,M,-6.1538,143.6560,-6.1417,143.6580,PG,
AYMO,MAS,Momote Airport,M,-2.0699,147.4210,-2.0539,147.4270,PG,
AYNZ,LAE,Lae Nadzab Airport,M,-6.5708,146.7150,-6.5689,146.7370,PG,Nadzab
AYPY,POM,Port Moresby Jacksons International Airport,L,-9.4521,147.2130,-9.4309,147.2270,PG,Port Moresby
AYTK,RAB,Tokua Airport,M,-4.3426,152.3720,-4.3382,152.3870,PG,Tokua
AYVN,VAI,Vanimo Airport,M,-2.6978,141.2970,-2.6876,141.3090,PG,
AYWD,WBM,Wapenamanda Airport,M,-5.6485,143.8910,-5.6381,143.9000,PG,
AYWK,WWK,Wewak International Airport,M,-3.5856,143.6620,-3.5821,143.6760,PG,Wewak
AZ-0001,ZXT,Zabrat Airport,M,40.4955,49.9768,,,AZ,Baku
AZ-0013,,Sital Chay Airport,M,40.8073,49.4315,,,AZ,
AZ-0021,,Kyzylagadzh Air Base,M,39.0062,48.8063,,,AZ,
BCW,,Benguera Island Airport,M,-21.8533,35.4383,,,MZ,Benguera Island
BG-JAM,JAM,Bezmer Air Base,M,42.4495,26.3389,42.4604,26.3655,BG,Yambol
BGAA,JEG,Aasiaat Airport,M,68.7218,-52.7847,,,GL,Aasiaat
BGBW,UAK,Narsarsuaq Airport,M,61.1544,-45.4369,61.1667,-45.4150,GL,Narsarsuaq
BGGH,GOH,Godthaab / Nuuk Airport,M,64.1890,-51.6796,64.1971,-51.6734,GL,Nuuk
BGSF,SFJ,Kangerlussuaq Airport,M,67.0056,-50.7431,67.0176,-50.6864,GL,Kangerlussuaq
BGTL,THU,Thule Air Base,M,76.5300,-68.7615,76.5324,-68.6448,GL,Thule
BIAR,AEY,Akureyri Airport,M,65.6500,-18.0740,65.6673,-18.0707,IS,Akureyri
BIEG,EGS,Egilsstaðir Airport,M,65.2746,-14.4112,65.2908,-14.3928,IS,Egilsstaðir
BIHN,HFN,Hornafjordur Airport,M,64.2891,-15.2308,64.3022,-15.2239,IS,Hornafjordur
BIHU,HZK,Husavik Airport,M,65.9453,-17.4295,65.9593,-17.4224,IS,Husavik
BIIS,IFJ,Ísafjörður Airport,M,66.0551,-23.1486,66.0610,-23.1216,IS,Ísafjörður
BIKF,KEF,Keflavik International Airport,L,63.9645,-22.6550,63.9919,-22.5924,IS,Reykjavík
BIPA,PFJ,Patreksfjordur Airport,M,65.5531,-23.9791,65.5592,-23.9526,IS,Patreksfjordur
BIRK,RKV,Reykjavik Airport,M,64.1220,-21.9554,64.1360,-21.9326,IS,Reykjavik
BISI,SIJ,Siglufjordur Airport,M,66.1298,-18.9248,66.1369,-18.9085,IS,Siglufjordur
BIVM,VEY,Vestmannaeyjar Airport,M,63.4201,-20.2870,63.4298,-20.2645,IS,Vestmannaeyjar
BKPR,PRN,Priština International Airport,L,42.5629,21.0346,42.5853,21.0369,KS,Prishtina
BY-0001,,Balbasovo Air Base,M,54.4400,30.2967,,,BY,Orsha
BY-0003,,Bobrovichi Air Base,M,52.2783,29.3600,,,BY,Kalinovichi
BY-0006,,Osovtsy Air Base,M,52.5570,24.8840,,,BY,Byaroza
BZ-BGK,BGK,Big Creek Airport,M,16.5194,-88.4079,,,BZ,Big Creek
BZ-CUK,CUK,Caye Caulker Airport,M,17.7347,-88.0325,,,BZ,Caye Caulker
BZ-CYC,CYC,Caye Chapel Airport,M,17.7008,-88.0411,,,BZ,Caye Chapel
BZ-CZH,CZH,Corozal Municipal Airport,M,18.3822,-88.4119,,,BZ,Corozal
BZ-DGA,DGA,Dangriga Airport,M,16.9825,-88.2310,,,BZ,Dangriga
BZ-PLJ,PLJ,Placencia Airport,M,16.5370,-88.3615,,,BZ,Placencia
BZ-PND,PND,Punta Gorda Airport,M,16.1024,-88.8083,,,BZ,Punta Gorda
BZ-SJX,SJX,Sartaneja Airport,M,18.3561,-88.1308,,,BZ,Sartaneja
BZ-SPR,SPR,San Pedro Airport,M,17.9139,-87.9711,,,BZ,San Pedro
BZ-TZA,TZA,Belize City Municipal Airport,M,17.5164,-88.1944,,,BZ,Belize City
BZB,,Bazaruto Island Airport,M,-21.5411,35.4729,,,MZ,Bazaruto Island
CN-0002,,Nanjing Air Base,M,31.9983,118.8120,,,CN,Nanjing
CN-0003,,Laohutun Air Base,M,39.6700,121.7660,,,CN,
CN-0004,,Pulandian Air Base,M,39.4509,122.0180,,,CN,
CN-0006,,Beijing Shahezhen Air Base,M,40.1492,116.3214,,,CN,Beijing
CN-0007,,Beijing Tongxian Air Base,M,39.8111,116.7083,,,CN,Beijing
CN-0010,,Hedong Airport,M,38.3228,106.3932,,,CN,Yinchuan
CN-0011,OHE,Gu-Lian Airport,M,52.9128,122.4300,,,CN,Mohe
CN-0012,,Yuanmou Air Base,M,25.7375,101.8820,,,CN,
CN-0013,,Fengning Air Base,M,41.2608,116.6180,,,CN,
CN-0014,,Hohhot Air Base,M,40.7372,111.2290,,,CN,
CN-0015,,Huairen Air Base,M,39.7175,113.1430,,,CN,Datong
CN-0016,,Liangxiangzhen Air Base,M,39.7578,116.1260,,,CN,Beijing
CN-0018,,Tangguantun Air Base,M,38.7811,117.0680,,,CN,
CN-0020,,Wenshui Air Base,M,37.4078,111.9660,,,CN,
CN-0021,,Yangcun Air Base,M,39.3733,117.0950,,,CN,
CN-0022,,Yongning Air Base,M,40.5031,116.1080,,,CN,Yongning
CN-0024,ZQZ,Zhangjiakou Ningyuan Airport,M,40.7386,114.9300,,,CN,Zhangjiakou
CN-0025,,Zunhua Air Base,M,40.1025,117.8870,,,CN,
CN-0026,,Chengdu Air Base,M,30.7053,103.9500,,,CN,
CN-0027,BSD,Baoshan Yunduan Airport,M,25.0533,99.1683,,,CN,
CN-0030,,Chongqing Air Base,M,29.4953,106.3590,,,CN,Chongqing
CN-0040,LNJ,Lintsang Airfield,M,23.7381,100.0250,,,CN,Lincang
CN-0041,,Luliang Air Base,M,24.9883,103.6420,,,CN,
CN-0043,,Mengzi Air Base,M,23.3953,103.3340,,,CN,
CN-0045,,Qionglai Air Base,M,30.4900,103.4650,,,CN,
CN-0046,,Shigatse Air Base,M,29.3519,89.3114,,,CN,
CN-0048,,Wenshan Air Base,M,23.7156,103.8270,,,CN,
CN-0049,,Xiangyun Midu Air Base,M,25.4453,100.7350,,,CN,
CN-0050,PZI,Bao'anying Airport,M,26.5400,101.7985,,,CN,Panzhihua
CN-0053,,Baihe Ning Ming Air Base,M,22.1206,107.1250,,,CN,
CN-0055,,Changsha Datuopu Airport/AFB,M,28.0689,112.9580,,,CN,Changsha
CN-0056,,Dangyang Air Base,M,30.7986,111.8100,,,CN,
CN-0057,,Foluo Northeast Air Base,M,18.6922,109.1610,,,CN,
CN-0061,FUO,Foshan Shadi Airport,M,23.0833,113.0700,,,CN,Foshan
CN-0063,,Guiping Mengshu Air Base,M,23.3308,110.0090,,,CN,
CN-0068,HUZ,Huizhou Airport,M,23.0500,114.6000,,,CN,Huizhou
CN-0069,,Jialaishi Air Base,M,19.6972,109.7260,,,CN,
CN-0071,,Leiyang Air Base,M,26.5872,112.8920,,,CN,
CN-0072,,Lingshui Air Base,M,18.4944,109.9880,,,CN,
CN-0079,HSC,Shaoguan Guitou Airport,M,24.9786,113.4210,,,CN,Shaoguan
CN-0080,,Suixi Air Base,M,21.3958,110.2000,,,CN,
CN-0081,JGS,Jinggangshan Airport,M,26.8569,114.7370,,,CN,Ji'an
CN-0082,AEB,Baise Youjiang Airport,M,23.7206,106.9600,,,CN,Baise
CN-0085,,Xiaogan Air Base,M,30.9544,113.9110,,,CN,
CN-0089,,Baitabu Air Base,M,34.5714,118.8750,,,CN,
CN-0090,,Cangxian Air Base,M,38.4025,116.9290,,,CN,
CN-0091,DOY,Dongying Shengli Airport,M,37.5086,118.7880,,,CN,Dongying
CN-0092,,Jiaozhou/Jiaocheng Air Base,M,36.3306,120.0240,,,CN,
CN-0093,,Jinan Air Base,M,36.6792,116.9210,,,CN,
CN-0094,,Jiugucheng Air Base,M,37.4900,116.1180,,,CN,
CN-0095,,Kaifeng Air Base,M,34.7539,114.3390,,,CN,Kaifeng
CN-0096,,Laiyang Air Base,M,36.9636,120.5910,,,CN,
CN-0097,,Luyang Air Base,M,33.6847,112.8910,,,CN,
CN-0100,,Qingdao-Cangkou Air Base,M,36.1592,120.3920,,,CN,
CN-0103,,Wendeng Air Base,M,37.2647,122.0230,,,CN,
CN-0104,XEN,Xingcheng Air Base,M,40.5803,120.6980,,,CN,
CN-0105,,Xuzhou Daguozhang Air Base,M,34.0589,117.5580,,,CN,
CN-0106,,Xuzhou Jiulishan Air Base,M,34.2306,117.2460,,,CN,
CN-0109,,Yidu Air Base,M,36.5914,118.5270,,,CN,
CN-0111,,Zhucheng Air Base,M,36.0275,119.4390,,,CN,
CN-0113,AAT,Altay Air Base,M,47.7499,88.0858,,,CN,Altay
